@relation pandasdata

@attribute reqs_statement string
@attribute  action_part string
@attribute actor_part string
@attribute label{irrelevant,relevant}

@data
"This_software_is_being_developed_to_for_customer_Xuan_Gu_an_employee_for_the_CISE_Department_at_the_University_of_Florida_","This_is_being_developed_to_for_customer_Xuan_Gu_an_employee_for_the_CISE_Department_at_the_University_of_Florida_","software","irrelevant"
"TA1_is_part_of_a_four_part_project_consisting_of_a_Faculty_Admin_TA1_and_TA2_","is_part_of_a_four_part_project_consisting_of_a_Faculty_Admin_TA1_and_TA2_","TA1","irrelevant"
"The_TA1_interface_will_allow_the_user_to_edit_the_number_of_TA_slots_for_a_particular_course_as_well_as_assign_update_TA_applicant_categories_","The_TA1_will_allow_the_to_edit_the_number_of_TA_slots_for_a_particular_course_as_well_as_assign_update_TA_applicant_categories_","interface_user","relevant"
"There_will_also_be_a_secure_login_before_any_of_these_interfaces_are_accessible_","There_will_also_be_a_secure_login_before_of_these_interfaces_are_accessible_","any","relevant"
"Bold_face_and_indentation_is_used_on_general_topics_and_or_specific_points_of_interest_","Bold_and_indentation_is_used_on_general_topics_and_or_specific_points_of_interest_","face","relevant"
"The_remainder_of_the_document_will_be_written_using_the_standard_font_New_Times_Roman_","The_of_the_document_will_be_written_using_the_standard_font_New_Times_Roman_","remainder","relevant"
"This_is_a_technical_document_and_the_terms_should_be_understood_by_the_customer_","is_a_technical_document_and_the_should_be_understood_by_the_customer_","This_terms","irrelevant"
"The_scope_of_this_project_includes_our_group_of_developers_assisted_by_our_customer_Xuan_","The_of_this_project_includes_our_group_of_developers_assisted_by_our_customer_Xuan_","scope","relevant"
"The_scope_thus_far_has_been_the_completion_of_the_basic_interfaces_that_will_be_used_to_build_the_system_","The_thus_far_has_been_the_completion_of_the_basic_interfaces_will_be_used_to_build_the_system_","scope_that","relevant"
"The_database_used_has_been_set_up_and_given_the_necessary_permissions_","The_used_has_been_set_up_and_given_the_necessary_permissions_","database","irrelevant"
"The_constraints_felt_thus_far_by_the_group_have_only_been_our_weekly_story_cards_the_end_to_end_side_of_the_interface_and_our_first_release_scheduled_for_February_11_2004_","The_felt_thus_far_by_the_group_have_only_been_our_weekly_story_cards_the_end_to_end_side_of_the_interface_and_our_first_release_scheduled_for_February_11_2004_","constraints","irrelevant"
"Resources_have_been_used_from_Dr_Cubert_s_website_www_cise_ufl_edu_rmc_se_and_this_SRS_was_modeled_after_one_found_online_at_http_www_processimpact_com_process_assets_srs_template_doc_","have_been_used_from_Dr_Cubert_s_website_www_cise_ufl_edu_rmc_se_and_this_was_modeled_after_one_found_online_at_http_www_processimpact_com_process_assets_srs_template_doc_","Resources_SRS","relevant"
"The_TA1_Project_is_a_new_product_that_is_part_of_a_larger_more_complete_product_for_our_customer_","The_TA1_is_a_new_product_is_part_of_a_larger_more_complete_product_for_our_customer_","Project_that","relevant"
"It_will_provide_the_faculty_a_way_of_viewing_all_of_the_TA1_s_information_that_is_necessary_in_order_to_make_a_decision_on_every_TA_status_","will_provide_the_faculty_a_way_of_viewing_all_of_the_TA1_s_information_is_necessary_in_order_to_make_a_decision_on_every_TA_status_","It_that","relevant"
"This_project_has_three_pages_that_are_part_of_TA1_which_is_part_of_the_larger_product_","This_has_three_pages_are_part_of_TA1_is_part_of_the_larger_product_","project_that_which","relevant"
"The_first_page_is_a_login_interface_that_will_only_allow_access_from_the_proper_users_","The_first_is_a_login_interface_will_only_allow_access_from_the_proper_users_","page_that","relevant"
"The_second_page_displays_the_available_classes_based_on_a_certain_semester_and_the_course_enrollment_for_a_particular_class_","The_second_displays_the_available_classes_based_on_a_certain_semester_and_the_course_enrollment_for_a_particular_class_","page","relevant"
"The_third_and_final_page_displays_information_about_TA_their_status_and_any_special_notes_that_might_have_been_posted_about_them_","The_third_and_final_displays_information_about_TA_their_status_and_any_special_notes_might_have_been_posted_about_them_","page_that","relevant"
"The_user_classes_will_be_TA1_TA2_Administration_and_Faculty_","The_user_will_be_TA1_TA2_Administration_and_Faculty_","classes","relevant"
"This_product_is_web_based_and_will_be_hosted_by_a_web_server_on_the_CISE_website_www_cise_ufl_edu_","This_is_web_based_and_will_be_hosted_by_a_web_server_on_the_CISE_website_www_cise_ufl_edu_","product","relevant"
